,Lines,Words,Syn,D1,D2,D3,D4,D5,,0.75,0.25,,,,,D,,
A,1098,3153,7470,147362,139924,2181172,18178788,584920700,109.8,82.35,27.45,,,,,0,1,1
B,3536,7751,10156,1068014,813830,20628540,246462976,1720181904,353.6,265.2,88.4,,,,,1,0.949765714,0.92
C,559,1415,3040,341358,285240,6747100,6034210,479236044,55.9,41.925,13.975,,,,,2,0.804109822,0.8
D,3046,6280,9368,5324668,2816222,39299806,274119046,1827669024,304.6,228.45,76.15,,,,,3,0.577666164,0.58
E,922,6454,44655,83074,197924,9516230,32917414,815048424,92.2,69.15,23.05,,,,,4,0.293185211,0.29
F,462,1287,2929,38382,23042,585482,1322274,189587852,46.2,34.65,11.55,,,,,5,-0.020751642,0
G,306,1930,11790,38290,62588,1693214,2164182,266789352,30.6,22.95,7.65,,,,,,,
H,2803,7117,17799,242674,252962,12933742,78954872,1138646760,280.3,210.225,70.075,,,,,,,
I,979,3395,11975,89694,130928,2044018,13845406,521048280,97.9,73.425,24.475,,,,,,,
J,309,1111,4854,20076,29284,396506,1315802,179806680,30.9,23.175,7.725,,,,,,,
K,324,1222,5034,5890,18304,755062,784278,169605720,32.4,24.3,8.1,,,,,,,
L,28,56,70,72,288,2580,0,7702352,2.8,2.1,0.7,,,,,,,
,14372,41171,129140,,,,,,,0,0,,,,,,,
,,2.864667409,8.985527414,,,,,,,0,0,,,,,,,
